name;nationality;age;club
 Brendan Rodgers;Northern Ireland;46;Leicester City
 Chris Hughton;Ireland;61;Brighton & Hove Albion
 Eddie Howe;England;44;AFC Bournemouth
 Jan Siewert;Germany;37;Huddersfield Town
 Javi Gracia;Spain;49;Watford
 Jürgen Klopp;Germany;52;Liverpool
 Manuel Pellegrini;Chile;66;West Ham United
 Marco Silva;Portugal;42;Everton
 Mauricio Pochettino;Argentina;47;Tottenham Hotspur
 Maurizio Sarri;Italy;60;Chelsea
 Neil Warnock;England;71;Cardiff City
 Nuno Espírito Santo;Portugal;45;Wolverhampton Wanderers
 Ole Gunnar Solskjær;Norway;46;Manchester United
 Pep Guardiola;Spain;48;Manchester City
 Rafael Benítez;Spain;59;Newcastle United
 Ralph Hasenhüttl;Austria;52;Southampton
 Roy Hodgson;England;72;Crystal Palace
 Scott Parker;England;39;Fulham
 Sean Dyche;England;48;Burnley
 Unai Emery;Spain;48;Arsenal
